NIST_index,NIST_index,du_index,noor_index,Enzyme:,KEGG Reaction:,CID Reaction:,EC Value:,Reaction:,Reference:,Reference ID:,T [K],pH,Keq,Ionic strength [molal],Experimental conditions,solutes [molal],Buffer:,Ionic strength [mol/dm^3],-log[Mg+2],Km',Enthalpy [kJ/mol],Method:,solutes [mol/dm^3]
0,0, , , aspartate ammonia-lyase, , ,4.3.1.1, L-aspartate(aq) = fumarate(aq) + ammonia(aq),Quastel J.H.; Woolf B.; Biochem. J.; 20 545 (1926).,26QUA/WOO_1205,310.15,7.4,~0.04, , , , phosphate, , , , , chemical analysis, 
1,1, , , aspartate ammonia-lyase, , ,4.3.1.1, L-aspartate(aq) = fumarate(aq) + ammonia(aq),Woolf B.; Biochem. J.; 23 472 (1929).,29WOO_1206,310.15,7.4,0.01, , , , phosphate, , , , , chemical analysis and polarimetry, 
2,2, , , fumarate hydratase, , ,4.2.1.2, fumarate(aq) + H2O(l) = (S)-malate(aq),Borsook H.; Schott H.F.; J. Biol. Chem.; 92 559 (1931).,31BOR/SCH_1141,298.15,6.81, , , , , , , , , , electrochemistry, 
3,3, , , fumarate hydratase, , ,4.2.1.2, fumarate(aq) + H2O(l) = (S)-malate(aq),Borsook H.; Schott H.F.; J. Biol. Chem.; 92 559 (1931).,31BOR/SCH_1141,298.15,7.12, , , , , , , , , , electrochemistry, 
4,4, , , fumarate hydratase, , ,4.2.1.2, fumarate(aq) + H2O(l) = (S)-malate(aq),Jacobsohn K.P.; Biochem. Z.; 274 167 (1934).,34JAC_1142,278.15,6.8, , , , , barbital, , , , , polarimetry, 
5,5, , , fumarate hydratase, , ,4.2.1.2, fumarate(aq) + H2O(l) = (S)-malate(aq),Jacobsohn K.P.; Biochem. Z.; 274 167 (1934).,34JAC_1142,288.15,6.8, , , , , barbital, , , , , polarimetry, 
6,6, , , fumarate hydratase, , ,4.2.1.2, fumarate(aq) + H2O(l) = (S)-malate(aq),Jacobsohn K.P.; Biochem. Z.; 274 167 (1934).,34JAC_1142,298.15,6.8, , , , , barbital, , , , , polarimetry, 
7,7, , , fumarate hydratase, , ,4.2.1.2, fumarate(aq) + H2O(l) = (S)-malate(aq),Jacobsohn K.P.; Biochem. Z.; 274 167 (1934).,34JAC_1142,311.15,6.8, , , , , barbital, , , , , polarimetry, 
8,8, , , fumarate hydratase, , ,4.2.1.2, fumarate(aq) + H2O(l) = (S)-malate(aq),Jacobsohn K.P.; Biochem. Z.; 274 167 (1934).,34JAC_1142,327.15,6.8, , , , , barbital, , , , , polarimetry, 
9,9, , , phosphopyruvate hydratase, , ,4.2.1.11, 2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),Lohman K.; Meyerhof O.; Biochem. Z.; 273 60 (1934).,34LOH/MEY_1169,273.15, , , , , , , , , , , chemical analysis, 
10,10, , , phosphopyruvate hydratase, , ,4.2.1.11, 2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),Lohman K.; Meyerhof O.; Biochem. Z.; 273 60 (1934).,34LOH/MEY_1169,293.15, , , , , , , , , , , chemical analysis, 
11,11, , , phosphopyruvate hydratase, , ,4.2.1.11, 2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),Lohman K.; Meyerhof O.; Biochem. Z.; 273 60 (1934).,34LOH/MEY_1169,313.15, , , , , , , , , , , chemical analysis, 
12,12, , , phosphopyruvate hydratase, , ,4.2.1.11, 2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),Lohman K.; Meyerhof O.; Biochem. Z.; 273 60 (1934).,34LOH/MEY_1169,333.15, , , , , , , , , , , chemical analysis, 
13,13, , , fructose-biphosphate aldolase and triose-phosphate isomerase, , ,4.1.2.13 & 4.1.2.13," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 271 89 (1934).,34MEY/LOH_1100,266.15,7,0.00018, , , , , , , , , spectrophotometry, 
14,14, , , fructose-biphosphate aldolase and triose-phosphate isomerase, , ,4.1.2.13 & 4.1.2.13," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 271 89 (1934).,34MEY/LOH_1100,273.15,7,0.00030, , , , , , , , , spectrophotometry, 
15,15, , , fructose-biphosphate aldolase and triose-phosphate isomerase, , ,4.1.2.13 & 4.1.2.13," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 271 89 (1934).,34MEY/LOH_1100,293.15,7,0.0015, , , , , , , , , spectrophotometry, 
16,16, , , fructose-biphosphate aldolase and triose-phosphate isomerase, , ,4.1.2.13 & 4.1.2.13," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 271 89 (1934).,34MEY/LOH_1100,333.15,7,0.013, , , , , , , , , spectrophotometry, 
17,17, , , fructose-biphosphate aldolase and triose-phosphate isomerase, , ,4.1.2.13 & 4.1.2.13," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 271 89 (1934).,34MEY/LOH_1100,343.15,7,0.022, , , , , , , , , spectrophotometry, 
18,18, , , triose-phosphate isomerase and fructose-bisphosphate aldolase, , ,5.3.1.1 & 5.3.1.1," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 271 89 (1934).,34MEY/LOH_1288,266.15,7,0.00018, , , , , , , , , spectrophotometry, 
19,19, , , triose-phosphate isomerase and fructose-bisphosphate aldolase, , ,5.3.1.1 & 5.3.1.1," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 271 89 (1934).,34MEY/LOH_1288,273.15,7,0.00030, , , , , , , , , spectrophotometry, 
20,20, , , triose-phosphate isomerase and fructose-bisphosphate aldolase, , ,5.3.1.1 & 5.3.1.1," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 271 89 (1934).,34MEY/LOH_1288,293.15,7,0.0015, , , , , , , , , spectrophotometry, 
21,21, , , triose-phosphate isomerase and fructose-bisphosphate aldolase, , ,5.3.1.1 & 5.3.1.1," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 271 89 (1934).,34MEY/LOH_1288,333.15,7,0.013, , , , , , , , , spectrophotometry, 
22,22, , , triose-phosphate isomerase and fructose-bisphosphate aldolase, , ,5.3.1.1 & 5.3.1.1," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 271 89 (1934).,34MEY/LOH_1288,343.15,7,0.022, , , , , , , , , spectrophotometry, 
23,23, , , phosphopyruvate hydratase, , ,4.2.1.11, 2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),Akano R.; Biochem. Z.; 280 110 (1935).,35AKA_1170,301.15, , , , , , , , , , , , 
24,24, , , aspartate ammonia-lyase, , ,4.3.1.1, L-aspartate(aq) = fumarate(aq) + ammonia(aq),Jacobsohn K.P.; Tapadinhas J.; Biochem. Z.; 282 374 (1935).,35JAC/TAP_1207,278.15,7.0,0.0024, , , , barbital, , , , , polarimetry and chemical analysis, 
25,25, , , aspartate ammonia-lyase, , ,4.3.1.1, L-aspartate(aq) = fumarate(aq) + ammonia(aq),Jacobsohn K.P.; Tapadinhas J.; Biochem. Z.; 282 374 (1935).,35JAC/TAP_1207,310.15,7.0,0.0076, , , , barbital, , , , , polarimetry and chemical analysis, 
26,26, , , phosphoglycerate mutase, , ,5.4.2.1, 2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq),Meyerhof O.; Kiessling W.; Biochem. Z.; 276 239 (1935).,35MEY/KIE_1385,273.15, , , , , , , , , , , polarimetry, 
